day,10 day avg,10 day avg offset,10 day slope,100 day avg,100 day avg offset,100 day slope,3 day avg,3 day avg offset,3 day slope,Date,DaysInPast,Symbol,close,high,low,open,volume
1999-11-18 00:00:00-05:00,,,,,,,,,,,,,44.0,50.0,40.0,45.5,44744700
1999-11-19 00:00:00-05:00,,,,,,,,,,,,,40.38,43.0,39.81,42.94,10897100
1999-11-22 00:00:00-05:00,,,,,,,,,,,,,44.0,44.0,40.06,41.31,4705200
1999-11-23 00:00:00-05:00,,,,,,,,,,,,,40.25,43.63,40.25,42.5,4274300
1999-11-24 00:00:00-05:00,,,,,,,,,,,,,41.06,41.94,40.0,40.13,3464400
1999-11-26 00:00:00-05:00,,,,,,,,,,,,,41.19,41.5,40.75,40.88,1237100
1999-11-29 00:00:00-05:00,,,,,,,,,,,,,42.13,42.44,40.56,41.0,2914700
1999-11-30 00:00:00-05:00,,,,,,,,,,,,,42.19,42.94,40.94,42.0,3083000
1999-12-01 00:00:00-05:00,,,,,,,,,,,,,42.94,43.44,41.88,42.19,2115400
1999-12-02 00:00:00-05:00,,,,,,,,,,,,,44.13,45.0,43.19,43.75,2195900
1999-12-03 00:00:00-05:00,,,,,,,,,,,,,44.5,45.69,44.31,44.94,2175700
1999-12-06 00:00:00-05:00,,,,,,,,,,,,,45.75,46.44,45.19,45.25,1610000
1999-12-07 00:00:00-05:00,,,,,,,,,,,,,45.25,46.0,44.31,45.75,1585100
1999-12-08 00:00:00-05:00,,,,,,,,,,,,,45.19,45.63,44.81,45.25,1350400
1999-12-09 00:00:00-05:00,,,,,,,,,,,,,45.81,45.94,45.25,45.25,1451400
1999-12-10 00:00:00-05:00,,,,,,,,,,,,,44.75,45.94,44.75,45.69,1190800
1999-12-13 00:00:00-05:00,,,,,,,,,,,,,45.5,46.25,44.38,45.5,2875900
1999-12-14 00:00:00-05:00,,,,,,,,,,,,,43.0,45.38,42.06,45.38,1665900
1999-12-15 00:00:00-05:00,,,,,,,,,,,,,41.69,42.31,41.0,42.0,2087100
1999-12-16 00:00:00-05:00,,,,,,,,,,,,,47.25,48.0,42.0,42.0,1848300
1999-12-20 00:00:00-05:00,,,,,,,,,,,,,46.88,46.94,46.13,46.25,856100
1999-12-21 00:00:00-05:00,,,,,,,,,,,,,46.63,46.69,46.0,46.69,1616200
1999-12-22 00:00:00-05:00,,,,,,,,,,,,,47.56,47.56,46.31,46.63,1363200
1999-12-23 00:00:00-05:00,,,,,,,,,,,,,49.75,50.0,47.44,47.5,1544700
1999-12-27 00:00:00-05:00,,,,,,,,,,,,,52.81,53.19,49.56,49.94,1451800
1999-12-28 00:00:00-05:00,,,,,,,,,,,,,61.5,61.5,53.94,54.25,2546500
1999-12-29 00:00:00-05:00,,,,,,,,,,,,,72.0,79.06,62.94,63.0,7524000
1999-12-30 00:00:00-05:00,,,,,,,,,,,,,79.25,80.0,74.25,76.0,4771900
1999-12-31 00:00:00-05:00,,,,,,,,,,,,,77.31,79.94,76.25,79.5,1381400
2000-01-04 00:00:00-05:00,,,,,,,,,,,,,66.5,68.88,64.75,68.13,3408500
2000-01-05 00:00:00-05:00,,,,,,,,,,,,,61.56,66.31,61.31,66.25,3342500
2000-01-06 00:00:00-05:00,,,,,,,,,,,,,60.0,62.0,58.13,61.63,1812900
2000-01-07 00:00:00-05:00,,,,,,,,,,,,,65.0,65.94,59.0,59.06,2016900
2000-01-10 00:00:00-05:00,,,,,,,,,,,,,68.94,69.63,67.56,69.0,1536800
2000-01-11 00:00:00-05:00,,,,,,,,,,,,,68.0,68.94,66.44,68.94,1327600
2000-01-12 00:00:00-05:00,,,,,,,,,,,,,66.63,68.0,64.06,68.0,1022800
2000-01-13 00:00:00-05:00,,,,,,,,,,,,,67.63,69.81,66.0,68.38,811400
2000-01-14 00:00:00-05:00,,,,,,,,,,,,,68.38,69.38,67.0,67.0,942000
2000-01-18 00:00:00-05:00,,,,,,,,,,,,,71.5,72.88,68.13,68.63,1503400
2000-01-19 00:00:00-05:00,,,,,,,,,,,,,70.0,72.0,69.81,72.0,1877600
2000-01-20 00:00:00-05:00,,,,,,,,,,,,,68.13,70.88,67.5,70.75,1436300
2000-01-21 00:00:00-05:00,,,,,,,,,,,,,68.75,69.38,66.44,69.13,1372200
2000-01-24 00:00:00-05:00,,,,,,,,,,,,,68.5,71.81,68.0,68.5,1499200
2000-01-25 00:00:00-05:00,,,,,,,,,,,,,67.69,69.63,66.44,68.75,825300
2000-01-26 00:00:00-05:00,,,,,,,,,,,,,68.31,69.25,67.88,67.94,731300
2000-01-27 00:00:00-05:00,,,,,,,,,,,,,68.44,70.5,67.25,69.88,621300
2000-01-28 00:00:00-05:00,,,,,,,,,,,,,68.06,69.5,67.44,69.5,1151100
2000-01-31 00:00:00-05:00,,,,,,,,,,,,,66.19,67.63,64.75,67.56,748700
2000-02-01 00:00:00-05:00,,,,,,,,,,,,,71.0,72.0,66.25,66.25,1004500
2000-02-02 00:00:00-05:00,,,,,,,,,,,,,76.5,76.5,71.56,71.88,1391400
2000-02-03 00:00:00-05:00,,,,,,,,,,,,,77.75,77.75,73.81,75.19,1272900
2000-02-04 00:00:00-05:00,,,,,,,,,,,,,76.25,77.75,75.0,77.75,819500
2000-02-07 00:00:00-05:00,,,,,,,,,,,,,79.5,80.0,76.25,77.69,911500
2000-02-08 00:00:00-05:00,,,,,,,,,,,,,79.0,82.19,78.25,80.75,836700
2000-02-09 00:00:00-05:00,,,,,,,,,,,,,75.75,78.69,75.69,77.63,846100
2000-02-10 00:00:00-05:00,,,,,,,,,,,,,76.69,78.81,75.31,77.0,763100
2000-02-11 00:00:00-05:00,,,,,,,,,,,,,75.38,76.81,74.81,76.5,537700
2000-02-14 00:00:00-05:00,,,,,,,,,,,,,76.44,76.94,74.81,75.25,599200
2000-02-15 00:00:00-05:00,,,,,,,,,,,,,81.88,83.0,76.56,76.56,1443200
2000-02-16 00:00:00-05:00,,,,,,,,,,,,,81.0,81.88,79.38,80.0,1288800
2000-02-17 00:00:00-05:00,,,,,,,,,,,,,97.0,97.0,77.63,81.0,675900
2000-02-18 00:00:00-05:00,,,,,,,,,,,,,93.75,95.88,88.06,88.5,2904200
2000-02-22 00:00:00-05:00,,,,,,,,,,,,,91.5,97.38,90.0,96.0,1593700
2000-02-23 00:00:00-05:00,,,,,,,,,,,,,99.0,100.0,91.63,91.63,1208900
2000-02-24 00:00:00-05:00,,,,,,,,,,,,,106.8,115.4,100.5,101.4,2114700
2000-02-25 00:00:00-05:00,,,,,,,,,,,,,108.1,113.9,103.3,103.4,1465100
2000-02-28 00:00:00-05:00,,,,,,,,,,,,,101.0,109.2,98.25,108.1,1198400
2000-02-29 00:00:00-05:00,,,,,,,,,,,,,103.9,105.2,101.3,101.4,685300
2000-03-01 00:00:00-05:00,,,,,,,,,,,,,109.1,111.8,104.3,104.5,742400
2000-03-02 00:00:00-05:00,,,,,,,,,,,,,105.3,110.0,102.5,109.9,850000
2000-03-03 00:00:00-05:00,,,,,,,,,,,,,108.0,111.8,104.9,104.9,869700
2000-03-06 00:00:00-05:00,,,,,,,,,,,,,159.0,162.0,112.5,113.0,4073300
2000-03-07 00:00:00-05:00,,,,,,,,,,,,,142.0,161.0,131.0,156.0,5515600
2000-03-08 00:00:00-05:00,,,,,,,,,,,,,152.0,152.0,140.0,146.0,2828300
2000-03-09 00:00:00-05:00,,,,,,,,,,,,,153.0,154.0,145.0,147.0,1798700
2000-03-10 00:00:00-05:00,,,,,,,,,,,,,142.0,154.9,140.0,153.0,1773500
2000-03-13 00:00:00-05:00,,,,,,,,,,,,,131.3,138.9,129.5,130.1,1878900
2000-03-14 00:00:00-05:00,,,,,,,,,,,,,130.0,136.0,118.9,133.0,2520000
2000-03-15 00:00:00-05:00,,,,,,,,,,,,,114.3,128.1,113.3,128.1,2179000
2000-03-16 00:00:00-05:00,,,,,,,,,,,,,118.1,123.0,112.0,116.0,1981100
2000-03-17 00:00:00-05:00,,,,,,,,,,,,,121.1,127.0,118.1,119.3,1118600
2000-03-20 00:00:00-05:00,,,,,,,,,,,,,113.8,121.5,113.0,120.4,1016200
2000-03-21 00:00:00-05:00,,,,,,,,,,,,,115.0,115.0,105.8,110.8,1808500
2000-03-22 00:00:00-05:00,,,,,,,,,,,,,119.4,120.9,109.1,113.6,1407700
2000-03-23 00:00:00-05:00,,,,,,,,,,,,,119.7,123.8,117.0,119.3,1396200
2000-03-27 00:00:00-05:00,,,,,,,,,,,,,114.3,119.5,113.2,118.2,605700
2000-03-28 00:00:00-05:00,,,,,,,,,,,,,119.1,121.9,113.5,114.0,996100
2000-03-29 00:00:00-05:00,,,,,,,,,,,,,112.0,121.0,110.0,119.0,894800
2000-03-30 00:00:00-05:00,,,,,,,,,,,,,105.0,112.5,99.13,108.2,1455100
2000-03-31 00:00:00-05:00,,,,,,,,,,,,,104.0,106.0,90.0,106.0,2669100
2000-04-03 00:00:00-04:00,,,,,,,,,,,,,98.0,103.3,91.75,103.0,1452700
2000-04-04 00:00:00-04:00,,,,,,,,,,,,,93.5,102.4,82.0,98.0,2517800
2000-04-05 00:00:00-04:00,,,,,,,,,,,,,96.94,99.88,90.13,92.75,1392000
2000-04-06 00:00:00-04:00,,,,,,,,,,,,,105.0,105.0,97.06,98.38,983600
2000-04-07 00:00:00-04:00,,,,,,,,,,,,,122.0,125.0,107.1,107.5,2128200
2000-04-10 00:00:00-04:00,,,,,,,,,,,,,107.9,122.0,105.4,122.0,2113900
2000-04-11 00:00:00-04:00,,,,,,,,,,,,,100.9,104.9,99.56,101.0,1356300
2000-04-12 00:00:00-04:00,,,,,,,,,,,,,86.0,99.25,83.0,98.0,3113700
2000-04-13 00:00:00-04:00,,,,,,,,,,,,,90.0,97.0,87.0,88.0,2672800
2000-04-14 00:00:00-04:00,,,,,,,,,,,,,82.69,89.44,81.0,87.75,2047700
2000-04-17 00:00:00-04:00,,,,,,,,,,,,,79.5,82.63,73.06,80.06,1972500
2000-04-18 00:00:00-04:00,,,,,,,,,,,,,87.0,88.0,75.13,78.0,2688300
2000-04-19 00:00:00-04:00,,,,,,,,,,,,,87.25,89.94,84.0,87.0,1733900
2000-04-20 00:00:00-04:00,,,,,,,,,,,,,89.94,91.75,87.38,87.88,1039400
2000-04-24 00:00:00-04:00,,,,,,,,,,,,,91.63,92.38,85.06,87.13,1215000
2000-04-25 00:00:00-04:00,,,,,,,,,,,,,90.0,95.56,90.0,94.63,803500
2000-04-26 00:00:00-04:00,,,,,,,,,,,,,91.88,95.19,91.63,95.13,698500
2000-04-27 00:00:00-04:00,,,,,,,,,,,,,90.75,93.25,89.0,89.13,1631800
2000-04-28 00:00:00-04:00,,,,,,,,,,,,,88.63,90.06,86.94,90.0,1272800
2000-05-01 00:00:00-04:00,,,,,,,,,,,,,95.38,96.25,88.63,88.63,1356000
2000-05-02 00:00:00-04:00,,,,,,,,,,,,,100.8,104.1,97.44,98.25,3046800
2000-05-03 00:00:00-04:00,,,,,,,,,,,,,91.5,98.0,89.63,97.5,1664800
2000-05-04 00:00:00-04:00,,,,,,,,,,,,,90.25,91.5,88.25,91.5,850000
2000-05-05 00:00:00-04:00,,,,,,,,,,,,,91.44,93.44,89.63,90.19,903700
2000-05-08 00:00:00-04:00,,,,,,,,,,,,,84.75,91.88,84.56,91.88,771300
2000-05-09 00:00:00-04:00,,,,,,,,,,,,,80.19,86.5,78.56,85.5,1229300
2000-05-10 00:00:00-04:00,,,,,,,,,,,,,77.0,79.69,75.75,79.0,1145500
2000-05-11 00:00:00-04:00,,,,,,,,,,,,,76.56,79.38,76.0,77.5,1203100
2000-05-12 00:00:00-04:00,,,,,,,,,,,,,90.56,98.0,82.25,84.0,9703800
2000-05-15 00:00:00-04:00,,,,,,,,,,,,,88.19,91.0,85.25,90.0,3178000
2000-05-16 00:00:00-04:00,,,,,,,,,,,,,89.5,96.94,88.0,90.13,4127300
2000-05-17 00:00:00-04:00,,,,,,,,,,,,,78.0,83.75,76.81,83.25,8906100
2000-05-18 00:00:00-04:00,,,,,,,,,,,,,71.0,78.94,71.0,78.0,4401600
2000-05-19 00:00:00-04:00,,,,,,,,,,,,,66.63,74.69,66.13,72.69,3763300
2000-05-22 00:00:00-04:00,,,,,,,,,,,,,62.38,68.0,59.94,67.0,5594200
2000-05-23 00:00:00-04:00,,,,,,,,,,,,,58.0,63.25,56.56,61.94,3730100
